t,x(t),v(t),p(t),F(t)
1.339999,0.8843997,1.319999,2.639999,1.970149
1.359999,0.9111997,1.339999,2.679999,1.970588
1.379999,0.9383997,1.359999,2.719999,1.971014
1.399999,0.9659997,1.379999,2.759999,1.971429
1.419999,0.9939997,1.399999,2.799999,1.971831
1.439999,1.0224,1.419999,2.839998,1.972222
1.459999,1.0512,1.439999,2.879998,1.972603
1.479999,1.0804,1.459999,2.919998,1.972973
1.499999,1.11,1.479999,2.959998,1.973333
1.519999,1.14,1.499999,2.999998,1.973684
1.539999,1.1704,1.519999,3.039998,1.974026
1.559999,1.2012,1.539999,3.079998,1.974359
1.579999,1.2324,1.559999,3.119998,1.974684
1.599999,1.264,1.579999,3.159998,1.975
1.619999,1.296,1.599999,3.199998,1.975309
1.639999,1.3284,1.619999,3.239998,1.97561
1.659999,1.361199,1.639999,3.279998,1.975904
1.679999,1.3944,1.659999,3.319998,1.97619
1.699999,1.427999,1.679999,3.359998,1.976471
1.719999,1.461999,1.699999,3.399998,1.976744
1.739999,1.496399,1.719999,3.439998,1.977012
1.759999,1.531199,1.739999,3.479998,1.977273
1.779999,1.566399,1.759999,3.519998,1.977528
1.799999,1.601999,1.779999,3.559998,1.977778
1.819999,1.637999,1.799999,3.599998,1.978022
1.839999,1.674399,1.819999,3.639998,1.978261
1.859999,1.711199,1.839999,3.679998,1.978495
1.879999,1.748399,1.859999,3.719998,1.978723
1.899999,1.785999,1.879999,3.759998,1.978947
1.919999,1.823999,1.899999,3.799998,1.979167
1.939999,1.862399,1.919999,3.839998,1.979381
1.959999,1.901199,1.939999,3.879997,1.979592
1.979999,1.940399,1.959999,3.919997,1.979798
1.999999,1.979999,1.979999,3.959997,1.98
2.019999,2.019999,1.999999,3.999997,1.980198
2.039999,2.060399,2.019999,4.039998,1.980392
2.059999,2.100799,2.019999,4.039998,1.961165
2.079999,2.141199,2.019999,4.039998,1.942308
2.099999,2.181599,2.019999,4.039998,1.92381
2.119999,2.221999,2.019999,4.039998,1.90566
2.139999,2.262399,2.019999,4.039998,1.887851
2.159999,2.302799,2.019999,4.039998,1.87037
2.179999,2.343199,2.019999,4.039998,1.853211
2.199999,2.383599,2.019999,4.039998,1.836364
2.219999,2.423999,2.019999,4.039998,1.81982
2.239999,2.464399,2.019999,4.039998,1.803571
2.259999,2.504799,2.019999,4.039998,1.787611
2.279999,2.545199,2.019999,4.039998,1.77193
2.299999,2.585599,2.019999,4.039998,1.756522
2.319999,2.625999,2.019999,4.039998,1.741379
2.339998,2.666399,2.019999,4.039998,1.726496
2.359998,2.7068,2.019999,4.039998,1.711864
2.379998,2.7472,2.019999,4.039998,1.697479
2.399998,2.7876,2.019999,4.039998,1.683333
2.419998,2.828,2.019999,4.039998,1.669422
2.439998,2.8684,2.019999,4.039998,1.655738
2.459998,2.9088,2.019999,4.039998,1.642277
2.479998,2.9492,2.019999,4.039998,1.629032
2.499998,2.9896,2.019999,4.039998,1.616
2.519998,3.03,2.019999,4.039998,1.603175
2.539998,3.0704,2.019999,4.039998,1.590551
2.559998,3.1108,2.019999,4.039998,1.578125
2.579998,3.1512,2.019999,4.039998,1.565892
2.599998,3.1916,2.019999,4.039998,1.553846
2.619998,3.232,2.019999,4.039998,1.541985
2.639998,3.2724,2.019999,4.039998,1.530303
2.659998,3.3128,2.019999,4.039998,1.518797
2.679998,3.3532,2.019999,4.039998,1.507463
2.699998,3.3936,2.019999,4.039998,1.496296
2.719998,3.434,2.019999,4.039998,1.485294
2.739998,3.4744,2.019999,4.039998,1.474453
2.759998,3.5148,2.019999,4.039998,1.463768
2.779998,3.5552,2.019999,4.039998,1.453238
2.799998,3.5956,2.019999,4.039998,1.442857
2.819998,3.636,2.019999,4.039998,1.432624
2.839998,3.6764,2.019999,4.039998,1.422535
2.859998,3.7168,2.019999,4.039998,1.412588
2.879998,3.7572,2.019999,4.039998,1.402778
2.899998,3.7976,2.019999,4.039998,1.393104
2.919998,3.838,2.019999,4.039998,1.383562
2.939998,3.8784,2.019999,4.039998,1.37415
2.959998,3.9188,2.019999,4.039998,1.364865
2.979998,3.9592,2.019999,4.039998,1.355705
2.999998,3.9996,2.019999,4.039998,1.346667
3.019998,4.04,2.019999,4.039998,1.337749
3.039998,4.0804,2.019999,4.039998,1.328948
3.059998,4.1208,2.019999,4.039998,1.320262
3.079998,4.161201,2.019999,4.039998,1.311688
3.099998,4.201601,2.019999,4.039998,1.303226
3.119998,4.242001,2.019999,4.039998,1.294872
3.139998,4.282401,2.019999,4.039998,1.286624
3.159998,4.322801,2.019999,4.039998,1.278481
3.179998,4.363201,2.019999,4.039998,1.27044
3.199998,4.403601,2.019999,4.039998,1.2625
3.219998,4.444001,2.019999,4.039998,1.254659
3.239998,4.484401,2.019999,4.039998,1.246914
3.259998,4.524801,2.019999,4.039998,1.239264
3.279998,4.565201,2.019999,4.039998,1.231707
3.299998,4.605601,2.019999,4.039998,1.224243
3.319998,4.646001,2.019999,4.039998,1.216868
3.339998,4.686401,2.019999,4.039998,1.209581
3.359998,4.726801,2.019999,4.039998,1.202381
3.379997,4.767201,2.019999,4.039998,1.195266
3.399997,4.807601,2.019999,4.039998,1.188236
3.419997,4.848001,2.019999,4.039998,1.181287
3.439997,4.888401,2.019999,4.039998,1.174419
3.459997,4.928801,2.019999,4.039998,1.16763
3.479997,4.969201,2.019999,4.039998,1.16092
3.499997,5.009601,2.019999,4.039998,1.154286
3.519997,5.050001,2.019999,4.039998,1.147727
3.539997,5.090401,2.019999,4.039998,1.141243
3.559997,5.130801,2.019999,4.039998,1.134832
3.579997,5.171201,2.019999,4.039998,1.128492
3.599997,5.211601,2.019999,4.039998,1.122222
3.619997,5.252001,2.019999,4.039998,1.116022
3.639997,5.292401,2.019999,4.039998,1.10989
3.659997,5.332801,2.019999,4.039998,1.103825
3.679997,5.373201,2.019999,4.039998,1.097826
3.699997,5.413601,2.019999,4.039998,1.091892
3.719997,5.454001,2.019999,4.039998,1.086022
3.739997,5.494401,2.019999,4.039998,1.080214
3.759997,5.534801,2.019999,4.039998,1.074468
3.779997,5.575202,2.019999,4.039998,1.068783
3.799997,5.615602,2.019999,4.039998,1.063158
3.819997,5.656002,2.019999,4.039998,1.057592
3.839997,5.696402,2.019999,4.039998,1.052083
3.859997,5.736802,2.019999,4.039998,1.046632
3.879997,5.777202,2.019999,4.039998,1.041237
3.899997,5.817602,2.019999,4.039998,1.035898
3.919997,5.858002,2.019999,4.039998,1.030612
3.939997,5.898402,2.019999,4.039998,1.025381
3.959997,5.938802,2.019999,4.039998,1.020202
3.979997,5.979202,2.019999,4.039998,1.015076
3.999997,6.019602,2.019999,4.039998,1.01
4.019997,6.060002,2.019999,4.039998,1.004975
4.039997,6.100402,2.019999,4.039998,1
4.059997,6.140802,2.019999,4.039998,0.995074
4.079997,6.181202,2.019999,4.039998,0.9901962
4.099997,6.221602,2.019999,4.039998,0.985366
4.119997,6.262002,2.019999,4.039998,0.9805827
4.139997,6.302402,2.019999,4.039998,0.9758455
4.159997,6.342802,2.019999,4.039998,0.971154
4.179997,6.383202,2.019999,4.039998,0.9665073
4.199997,6.423602,2.019999,4.039998,0.9619049
4.219997,6.464002,2.019999,4.039998,0.9573461
4.239997,6.504402,2.019999,4.039998,0.9528303
4.259997,6.544802,2.019999,4.039998,0.9483569
4.279997,6.585202,2.019999,4.039998,0.9439254
4.299997,6.625602,2.019999,4.039998,0.939535
4.319997,6.666002,2.019999,4.039998,0.9351853
4.339997,6.706402,2.019999,4.039998,0.9308757
4.359997,6.746802,2.019999,4.039998,0.9266056
4.379997,6.787202,2.019999,4.039998,0.9223745
4.399997,6.827602,2.019999,4.039998,0.918182
4.419997,6.868002,2.019999,4.039998,0.9140273
4.439997,6.908402,2.019999,4.039998,0.90991
4.459997,6.948802,2.019999,4.039998,0.9058297
4.479997,6.989202,2.019999,4.039998,0.9017859
4.499997,7.029603,2.019999,4.039998,0.8977779
4.519997,7.070003,2.019999,4.039998,0.8938054
4.539997,7.110403,2.019999,4.039998,0.889868
4.559997,7.150803,2.019999,4.039998,0.885965
4.579997,7.191203,2.019999,4.039998,0.8820962
4.599997,7.231603,2.019999,4.039998,0.878261
4.619997,7.272003,2.019999,4.039998,0.874459
4.639997,7.312403,2.019999,4.039998,0.8706898
4.659997,7.352803,2.019999,4.039998,0.8669529
4.679996,7.393203,2.019999,4.039998,0.863248
4.699996,7.433603,2.019999,4.039998,0.8595746
4.719996,7.474003,2.019999,4.039998,0.8559324
4.739996,7.514403,2.019999,4.039998,0.8523208
4.759996,7.554803,2.019999,4.039998,0.8487396
4.779996,7.595203,2.019999,4.039998,0.8451884
4.799996,7.635603,2.019999,4.039998,0.8416668
4.819996,7.676003,2.019999,4.039998,0.8381744
4.839996,7.716403,2.019999,4.039998,0.8347109
4.859996,7.756803,2.019999,4.039998,0.8312759
4.879996,7.797203,2.019999,4.039998,0.827869
4.899996,7.837603,2.019999,4.039998,0.82449
4.919996,7.878003,2.019999,4.039998,0.8211383
4.939996,7.918403,2.019999,4.039998,0.8178139
4.959996,7.958803,2.019999,4.039998,0.8145162
4.979996,7.999203,2.019999,4.039998,0.8112451
4.999996,8.039603,2.019999,4.039998,0.8080001
5.019996,8.080003,2.019999,4.039998,0.804781
5.039996,8.120402,2.019999,4.039998,0.8015875
5.059996,8.160802,2.019999,4.039998,0.7984191
5.079996,8.201201,2.019999,4.039998,0.7952757
5.099996,8.241601,2.019999,4.039998,0.792157
5.119996,8.282001,2.019999,4.039998,0.7890626
5.139996,8.3224,2.019999,4.039998,0.7859923
5.159996,8.3628,2.019999,4.039998,0.7829459
5.179996,8.403199,2.019999,4.039998,0.7799229
5.199996,8.443599,2.019999,4.039998,0.7769232
5.219996,8.483998,2.019999,4.039998,0.7739465
5.239996,8.524398,2.019999,4.039998,0.7709925
5.259996,8.564797,2.019999,4.039998,0.768061
5.279996,8.605197,2.019999,4.039998,0.7651516
5.299996,8.645597,2.019999,4.039998,0.7622643
5.319996,8.685996,2.019999,4.039998,0.7593986
5.339996,8.726396,2.019999,4.039998,0.7565544
5.359996,8.766795,2.019999,4.039998,0.7537315
5.379996,8.807195,2.019999,4.039998,0.7509295
5.399996,8.847594,2.019999,4.039998,0.7481483
5.419996,8.887994,2.019999,4.039998,0.7453876
5.439996,8.928393,2.019999,4.039998,0.7426472
5.459996,8.968793,2.019999,4.039998,0.7399269
5.479996,9.009192,2.019999,4.039998,0.7372264
5.499996,9.049592,2.019999,4.039998,0.7345456
5.519996,9.089992,2.019999,4.039998,0.7318842
5.539996,9.130391,2.019999,4.039998,0.729242
5.559996,9.170791,2.019999,4.039998,0.7266188
5.579996,9.21119,2.019999,4.039998,0.7240145
5.599996,9.25159,2.019999,4.039998,0.7214287
5.619996,9.291989,2.019999,4.039998,0.7188613
5.639996,9.332389,2.019999,4.039998,0.7163122
5.659996,9.372788,2.019999,4.039998,0.7137811
5.679996,9.413188,2.019999,4.039998,0.7112677
5.699996,9.453588,2.019999,4.039998,0.7087721
5.719995,9.493987,2.019999,4.039998,0.7062938
5.739995,9.534387,2.019999,4.039998,0.7038329
5.759995,9.574786,2.019999,4.039998,0.701389
5.779995,9.615186,2.019999,4.039998,0.6989621
5.799995,9.655585,2.019999,4.039998,0.6965519
5.819995,9.695985,2.019999,4.039998,0.6941582
5.839995,9.736384,2.019999,4.039998,0.6917809
5.859995,9.776784,2.019999,4.039998,0.6894199
5.879995,9.817183,2.019999,4.039998,0.687075
5.899995,9.857583,2.019999,4.039998,0.6847459
5.919995,9.897983,2.019999,4.039998,0.6824326
5.939995,9.938382,2.019999,4.039998,0.6801348
5.959995,9.978782,2.019999,4.039998,0.6778525
5.979995,10.01918,2.019999,4.039998,0.6755854
5.999995,10.05958,2.019999,4.039998,0.6733335
6.019995,10.09998,2.019999,4.039998,0.6710965
6.039995,10.14038,2.019999,4.039998,0.6688743
6.059995,10.18078,2.019999,4.039998,0.6666668
6.079995,10.22118,2.019999,4.039998,0.6644738
6.099995,10.26158,2.019999,4.039998,0.6622952
6.119995,10.30198,2.019999,4.039998,0.6601309
6.139995,10.34238,2.019999,4.039998,0.6579806
6.159995,10.38278,2.019999,4.039998,0.6558443
6.179995,10.42318,2.019999,4.039998,0.6537218
6.199995,10.46358,2.019999,4.039998,0.6516131
6.219995,10.50398,2.019999,4.039998,0.6495178
6.239995,10.54438,2.019999,4.039998,0.647436
6.259995,10.58477,2.019999,4.039998,0.6453676
6.279995,10.62517,2.019999,4.039998,0.6433122
6.299995,10.66557,2.019999,4.039998,0.64127
6.319995,10.70597,2.019999,4.039998,0.6392406
6.339995,10.74637,2.019999,4.039998,0.6372241
6.359995,10.78677,2.019999,4.039998,0.6352202
6.379995,10.82717,2.019999,4.039998,0.633229
6.399995,10.86757,2.019999,4.039998,0.6312501
6.419995,10.90797,2.019999,4.039998,0.6292836
6.439995,10.94837,2.019999,4.039998,0.6273293
6.459995,10.98877,2.019999,4.039998,0.6253871
6.479995,11.02917,2.019999,4.039998,0.6234569
6.499995,11.06957,2.019999,4.039998,0.6215386
6.519995,11.10997,2.019999,4.039998,0.619632
6.539995,11.15037,2.019999,4.039998,0.6177371
6.559995,11.19077,2.019999,4.039998,0.6158538
6.579995,11.23117,2.019999,4.039998,0.6139819
6.599995,11.27157,2.019999,4.039998,0.6121213
6.619995,11.31197,2.019999,4.039998,0.610272
6.639995,11.35237,2.019999,4.039998,0.6084338
6.659995,11.39277,2.019999,4.039998,0.6066067
6.679995,11.43317,2.019999,4.039998,0.6047906
6.699995,11.47357,2.019999,4.039998,0.6029852
6.719995,11.51396,2.019999,4.039998,0.6011906
6.739995,11.55436,2.019999,4.039998,0.5994067
6.759995,11.59476,2.019999,4.039998,0.5976332
6.779994,11.63516,2.019999,4.039998,0.5958703
6.799994,11.67556,2.019999,4.039998,0.5941178
6.819994,11.71596,2.019999,4.039998,0.5923755
6.839994,11.75636,2.019999,4.039998,0.5906434
6.859994,11.79676,2.019999,4.039998,0.5889214
6.879994,11.83716,2.019999,4.039998,0.5872094
6.899994,11.87756,2.019999,4.039998,0.5855074
6.919994,11.91796,2.019999,4.039998,0.5838152
6.939994,11.95836,2.019999,4.039998,0.5821327
6.959994,11.99876,2.019999,4.039998,0.5804599
6.979994,12.03916,2.019999,4.039998,0.5787967
6.999994,12.07956,2.019999,4.039998,0.577143
7.019994,12.11996,2.019999,4.039998,0.5754987
7.039994,12.16036,2.019999,4.039998,0.5738637
7.059994,12.20076,2.019999,4.039998,0.5722381
7.079994,12.24116,2.019999,4.039998,0.5706216
7.099994,12.28156,2.019999,4.039998,0.5690142
7.119994,12.32196,2.019999,4.039998,0.5674158
7.139994,12.36236,2.019999,4.039998,0.5658265
7.159994,12.40275,2.019999,4.039998,0.5642459
7.179994,12.44315,2.019999,4.039998,0.5626742
7.199994,12.48355,2.019999,4.039998,0.5611112
7.219994,12.52395,2.019999,4.039998,0.5595569
7.239994,12.56435,2.019999,4.039998,0.5580112
7.259994,12.60475,2.019999,4.039998,0.556474
7.279994,12.64515,2.019999,4.039998,0.5549452
7.299994,12.68555,2.019999,4.039998,0.5534248
7.319994,12.72595,2.019999,4.039998,0.5519127
7.339994,12.76635,2.019999,4.039998,0.5504088
7.359994,12.80675,2.019999,4.039998,0.5489132
7.379994,12.84715,2.019999,4.039998,0.5474256
7.399994,12.88755,2.019999,4.039998,0.5459461
7.419994,12.92795,2.019999,4.039998,0.5444745
7.439994,12.96835,2.019999,4.039998,0.5430109
7.459994,13.00875,2.019999,4.039998,0.5415551
7.479994,13.04915,2.019999,4.039998,0.5401071
7.499994,13.08955,2.019999,4.039998,0.5386668
7.519994,13.12995,2.019999,4.039998,0.5372342
7.539994,13.17035,2.019999,4.039998,0.5358092
7.559994,13.21075,2.019999,4.039998,0.5343916
7.579994,13.25115,2.019999,4.039998,0.5329816
7.599994,13.29154,2.019999,4.039998,0.5315791
7.619994,13.33194,2.019999,4.039998,0.5301839
7.639994,13.37234,2.019999,4.039998,0.528796
7.659994,13.41274,2.019999,4.039998,0.5274153
7.679994,13.45314,2.019999,4.039998,0.5260418
7.699994,13.49354,2.019999,4.039998,0.5246754
7.719994,13.53394,2.019999,4.039998,0.5233162
7.739994,13.57434,2.019999,4.039998,0.521964
7.759994,13.61474,2.019999,4.039998,0.5206187
7.779994,13.65514,2.019999,4.039998,0.5192803
7.799994,13.69554,2.019999,4.039998,0.5179489
7.819993,13.73594,2.019999,4.039998,0.5166242
7.839993,13.77634,2.019999,4.039998,0.5153062
7.859993,13.81674,2.019999,4.039998,0.5139951
7.879993,13.85714,2.019999,4.039998,0.5126905
7.899993,13.89754,2.019999,4.039998,0.5113925
7.919993,13.93794,2.019999,4.039998,0.5101011
7.939993,13.97834,2.019999,4.039998,0.5088162
7.959993,14.01874,2.019999,4.039998,0.5075378
7.979993,14.05914,2.019999,4.039998,0.5062658
7.999993,14.09954,2.019999,4.039998,0.5050001
8.019994,14.13994,2.019999,4.039998,0.5037407
8.039994,14.18034,2.019999,4.039998,0.5024876
8.059995,14.22073,2.019999,4.039998,0.5012407
8.079995,14.26113,2.019999,4.039998,0.5
8.099996,14.30153,2.019999,4.039998,0.4987654
8.119996,14.34193,2.019999,4.039998,0.4975369
8.139997,14.38233,2.019999,4.039998,0.4963144
8.159997,14.42273,2.019999,4.039998,0.4950979
8.179997,14.46313,2.019999,4.039998,0.4938874
8.199998,14.50353,2.019999,4.039998,0.4926828
8.219998,14.54393,2.019999,4.039998,0.491484
8.239999,14.58433,2.019999,4.039998,0.490291
8.259999,14.62473,2.019999,4.039998,0.4891039
8.28,14.66513,2.019999,4.039998,0.4879224
8.3,14.70553,2.019999,4.039998,0.4867467
8.320001,14.74593,2.019999,4.039998,0.4855766
8.340001,14.78633,2.019999,4.039998,0.4844121
8.360002,14.82673,2.019999,4.039998,0.4832532
8.380002,14.86713,2.019999,4.039998,0.4820998
8.400002,14.90753,2.019999,4.039998,0.480952
8.420003,14.94793,2.019999,4.039998,0.4798095
8.440003,14.98833,2.019999,4.039998,0.4786725
8.460004,15.02873,2.019999,4.039998,0.4775409
8.480004,15.06913,2.019999,4.039998,0.4764146
8.500005,15.10952,2.019999,4.039998,0.4752936
8.520005,15.14992,2.019999,4.039998,0.4741778
8.540006,15.19032,2.019999,4.039998,0.4730673
8.560006,15.23072,2.019999,4.039998,0.471962
8.580007,15.27112,2.019999,4.039998,0.4708618
8.600007,15.31152,2.019999,4.039998,0.4697668
8.620008,15.35192,2.019999,4.039998,0.4686768
8.640008,15.39232,2.019999,4.039998,0.4675919
8.660008,15.43272,2.019999,4.039998,0.466512
8.680009,15.47312,2.019999,4.039998,0.465437
8.700009,15.51352,2.019999,4.039998,0.464367
8.72001,15.55392,2.019999,4.039998,0.463302
8.74001,15.59432,2.019999,4.039998,0.4622417
8.760011,15.63472,2.019999,4.039998,0.4611864
8.780011,15.67512,2.019999,4.039998,0.4601358
8.800012,15.71552,2.019999,4.039998,0.45909
8.820012,15.75592,2.019999,4.039998,0.458049
8.840013,15.79632,2.019999,4.039998,0.4570127
8.860013,15.83672,2.019999,4.039998,0.455981
8.880013,15.87712,2.019999,4.039998,0.454954
8.900014,15.91752,2.019999,4.039998,0.4539316
8.920014,15.95792,2.019999,4.039998,0.4529138
8.940015,15.99831,2.019999,4.039998,0.4519005
8.960015,16.03872,2.019999,4.039998,0.4508918
8.980016,16.07911,2.019999,4.039998,0.4498876
9.000016,16.11951,2.019999,4.039998,0.4488878
9.020017,16.15991,2.019999,4.039998,0.4478925
9.040017,16.20031,2.019999,4.039998,0.4469015
9.060018,16.24071,2.019999,4.039998,0.445915
9.080018,16.28111,2.019999,4.039998,0.4449328
9.100019,16.32151,2.019999,4.039998,0.4439549
9.120019,16.36191,2.019999,4.039998,0.4429813
9.140019,16.40231,2.019999,4.039998,0.4420119
9.16002,16.44271,2.019999,4.039998,0.4410468
9.18002,16.48311,2.019999,4.039998,0.4400859
9.200021,16.52351,2.019999,4.039998,0.4391292
9.220021,16.56391,1.969999,3.939998,0.4273306
9.240022,16.60331,1.919999,3.839998,0.4155832
9.260022,16.64171,1.869999,3.739998,0.4038865
9.280023,16.67911,1.819999,3.639998,0.3922402
9.300023,16.71551,1.769999,3.539998,0.380644
9.320024,16.75091,1.719999,3.439998,0.3690976
9.340024,16.78531,1.669999,3.339998,0.3576006
9.360024,16.81871,1.619999,3.239998,0.3461528
9.380025,16.85111,1.569999,3.139998,0.3347538
9.400025,16.88251,1.519999,3.039999,0.3234032
9.420026,16.91291,1.469999,2.939999,0.3121009
9.440026,16.94231,1.419999,2.839999,0.3008465
9.460027,16.97071,1.369999,2.739999,0.2896397
9.480027,16.99811,1.319999,2.639999,0.2784801
9.500028,17.02451,1.27,2.539999,0.2673675
9.520028,17.04991,1.22,2.439999,0.2563017
9.540029,17.07431,1.17,2.339999,0.2452822
9.560029,17.09771,1.12,2.239999,0.2343088
9.580029,17.12011,1.07,2.139999,0.2233813
9.60003,17.14151,1.02,2.039999,0.2124993
9.62003,17.16191,0.9699997,1.939999,0.2016625
9.640031,17.18131,0.9199997,1.839999,0.1908707
9.660031,17.19971,0.8699997,1.739999,0.1801236
9.680032,17.21711,0.8199997,1.639999,0.1694209
9.700032,17.23351,0.7699997,1.539999,0.1587623
9.720033,17.24891,0.7199997,1.439999,0.1481476
9.740033,17.26331,0.6699997,1.339999,0.1375765
9.760034,17.27671,0.6199996,1.239999,0.1270487
9.780034,17.28911,0.5699996,1.139999,0.1165639
9.800035,17.30051,0.5199996,1.039999,0.106122
9.820035,17.31091,0.4699996,0.9399992,0.09572259
9.840035,17.32031,0.4199996,0.8399992,0.08536547
9.860036,17.32871,0.3699996,0.7399992,0.07505035
9.880036,17.33611,0.3199996,0.6399992,0.064777
9.900037,17.34251,0.2699996,0.5399991,0.05454516
9.920037,17.34791,0.2199996,0.4399991,0.04435458
9.940038,17.35231,0.1699996,0.3399991,0.03420502
9.960038,17.35571,0.1199996,0.2399991,0.02409621
9.980039,17.35811,0.06999958,0.1399992,0.01402792
10.00004,17.35951,0.01999958,0.03999916,0.003999901
10.02004,17.35991,-0.03000041,-0.06000083,-0.005988083
10.04004,17.35931,-0.08000041,-0.1600008,-0.01593627
10.06004,17.35771,-0.1300004,-0.2600008,-0.02584491
10.08004,17.35511,-0.1800004,-0.3600008,-0.03571422
10.10004,17.35151,-0.2300004,-0.4600008,-0.04554445
10.12004,17.34691,-0.2800004,-0.5600008,-0.05533582
10.14004,17.34131,-0.3300004,-0.6600008,-0.06508856
10.16004,17.33471,-0.3800004,-0.7600008,-0.07480291
10.18004,17.32711,-0.4300004,-0.8600008,-0.08447909
10.20004,17.31851,-0.4800004,-0.9600009,-0.09411733
10.22004,17.30891,-0.5300004,-1.060001,-0.1037178
10.24004,17.29831,-0.5800005,-1.160001,-0.1132808
10.26005,17.28671,-0.6300005,-1.260001,-0.1228066
10.28005,17.27411,-0.6800005,-1.360001,-0.1322952
10.30005,17.26051,-0.7300005,-1.460001,-0.141747
10.32005,17.24591,-0.7800005,-1.560001,-0.1511622
10.34005,17.23031,-0.8300005,-1.660001,-0.160541
10.36005,17.21371,-0.8800005,-1.760001,-0.1698835
10.38005,17.19611,-0.9300005,-1.860001,-0.17919
10.40005,17.17751,-0.9800006,-1.960001,-0.1884608
10.42005,17.15791,-1.030001,-2.060001,-0.1976959
10.44005,17.13731,-1.080001,-2.160001,-0.2068957
10.46005,17.11571,-1.13,-2.260001,-0.2160603
10.48005,17.09311,-1.18,-2.360001,-0.2251898
10.50005,17.06951,-1.23,-2.460001,-0.2342847
10.52005,17.04491,-1.28,-2.560001,-0.2433449
10.54005,17.01931,-1.33,-2.660001,-0.2523707
10.56005,16.99271,-1.38,-2.76,-0.2613624
10.58005,16.96511,-1.43,-2.86,-0.2703201
10.60005,16.93651,-1.48,-2.96,-0.2792439
10.62005,16.90691,-1.53,-3.06,-0.2881342
10.64005,16.87631,-1.58,-3.16,-0.296991
10.66005,16.84471,-1.63,-3.26,-0.3058146
10.68005,16.81211,-1.68,-3.36,-0.3146051
10.70006,16.77851,-1.73,-3.46,-0.3233628
10.72006,16.74391,-1.78,-3.56,-0.3320878
10.74006,16.70831,-1.83,-3.66,-0.3407803
10.76006,16.67171,-1.88,-3.76,-0.3494405
10.78006,16.63411,-1.93,-3.859999,-0.3580686
10.80006,16.59551,-1.98,-3.959999,-0.3666646
10.82006,16.55591,-2.03,-4.059999,-0.375229
10.84006,16.51531,-2.08,-4.159999,-0.3837617
